ppcnt: 145, rega0: 810782, event: 0
ppcnt: 146, rega0: 869975, event: 0
ppcnt: 147, rega0: 839705, event: 0
ppcnt: 148, rega0: 839117, event: 0
ppcnt: 149, rega0: 837584, event: 0
ppcnt: 150, rega0: 841775, event: 0
ppcnt: 151, rega0: 840564, event: 0
ppcnt: 152, rega0: 840193, event: 0
ppcnt: 153, rega0: 839904, event: 0
ppcnt: 154, rega0: 840354, event: 0
ppcnt: 155, rega0: 840584, event: 0
ppcnt: 156, rega0: 840445, event: 0
ppcnt: 157, rega0: 840883, event: 0
ppcnt: 158, rega0: 841255, event: 0
ppcnt: 159, rega0: 840952, event: 0
ppcnt: 160, rega0: 841100, event: 0
ppcnt: 161, rega0: 840863, event: 0
ppcnt: 162, rega0: 841198, event: 0
ppcnt: 163, rega0: 841968, event: 0
ppcnt: 164, rega0: 841004, event: 0
ppcnt: 165, rega0: 840884, event: 0
ppcnt: 166, rega0: 840485, event: 0
ppcnt: 167, rega0: 840688, event: 0
ppcnt: 168, rega0: 840712, event: 0
ppcnt: 169, rega0: 840737, event: 0
ppcnt: 170, rega0: 840367, event: 0
ppcnt: 171, rega0: 840344, event: 0
ppcnt: 172, rega0: 840004, event: 0
ppcnt: 173, rega0: 826215, event: 0
ppcnt: 174, rega0: 811962, event: 0
ppcnt: 175, rega0: 882487, event: 0
ppcnt: 176, rega0: 839829, event: 0
ppcnt: 177, rega0: 840017, event: 0
ppcnt: 178, rega0: 840221, event: 0
ppcnt: 179, rega0: 839801, event: 0
ppcnt: 180, rega0: 839702, event: 0
ppcnt: 181, rega0: 840791, event: 0
ppcnt: 182, rega0: 840829, event: 0
ppcnt: 183, rega0: 841171, event: 0
ppcnt: 184, rega0: 840435, event: 0
ppcnt: 185, rega0: 840347, event: 0
ppcnt: 186, rega0: 839979, event: 0
ppcnt: 187, rega0: 840269, event: 0
ppcnt: 188, rega0: 840557, event: 0
ppcnt: 189, rega0: 841299, event: 0
ppcnt: 190, rega0: 840528, event: 0
ppcnt: 191, rega0: 841874, event: 0
ppcnt: 192, rega0: 840096, event: 0
ppcnt: 193, rega0: 840973, event: 0
ppcnt: 194, rega0: 840566, event: 0
ppcnt: 195, rega0: 840444, event: 0
ppcnt: 196, rega0: 840031, event: 0
ppcnt: 197, rega0: 839999, event: 0
ppcnt: 198, rega0: 838629, event: 0
ppcnt: 199, rega0: 839325, event: 0
ppcnt: 200, rega0: 840600, event: 0
ppcnt: 201, rega0: 840453, event: 0
ppcnt: 202, rega0: 840183, event: 0
ppcnt: 203, rega0: 840118, event: 0
ppcnt: 204, rega0: 839615, event: 0
ppcnt: 205, rega0: 840000, event: 0
ppcnt: 206, rega0: 840233, event: 0
ppcnt: 207, rega0: 840022, event: 0
ppcnt: 208, rega0: 839771, event: 0
ppcnt: 209, rega0: 839590, event: 0
ppcnt: 210, rega0: 839214, event: 0
ppcnt: 211, rega0: 839752, event: 0
ppcnt: 212, rega0: 839763, event: 0
ppcnt: 213, rega0: 839914, event: 0
ppcnt: 214, rega0: 840014, event: 0
ppcnt: 215, rega0: 840303, event: 0
ppcnt: 216, rega0: 839909, event: 0
ppcnt: 217, rega0: 839719, event: 0
ppcnt: 218, rega0: 840080, event: 0
ppcnt: 219, rega0: 840206, event: 0
ppcnt: 220, rega0: 839934, event: 0
ppcnt: 221, rega0: 839962, event: 0
ppcnt: 222, rega0: 840262, event: 0
ppcnt: 223, rega0: 840101, event: 0
ppcnt: 224, rega0: 839887, event: 0
ppcnt: 225, rega0: 840015, event: 0
ppcnt: 226, rega0: 839748, event: 0
ppcnt: 227, rega0: 840021, event: 0
ppcnt: 228, rega0: 839717, event: 0
ppcnt: 229, rega0: 840047, event: 0
ppcnt: 230, rega0: 839710, event: 0
ppcnt: 231, rega0: 839490, event: 0
ppcnt: 232, rega0: 840269, event: 0
ppcnt: 233, rega0: 840066, event: 0
ppcnt: 234, rega0: 841149, event: 0
ppcnt: 235, rega0: 840656, event: 0
ppcnt: 236, rega0: 840910, event: 0
ppcnt: 237, rega0: 840361, event: 0
ppcnt: 238, rega0: 839760, event: 0
ppcnt: 239, rega0: 840607, event: 0
ppcnt: 240, rega0: 839772, event: 0
ppcnt: 241, rega0: 841151, event: 0
ppcnt: 242, rega0: 839941, event: 0
ppcnt: 243, rega0: 839962, event: 0
ppcnt: 244, rega0: 840337, event: 0
ppcnt: 245, rega0: 840437, event: 0
ppcnt: 246, rega0: 840156, event: 0
ppcnt: 247, rega0: 840637, event: 0
ppcnt: 248, rega0: 837966, event: 0
ppcnt: 249, rega0: 839911, event: 0
ppcnt: 250, rega0: 839083, event: 0
ppcnt: 251, rega0: 840232, event: 0
ppcnt: 252, rega0: 839905, event: 0
ppcnt: 253, rega0: 840265, event: 0
ppcnt: 254, rega0: 840427, event: 0
ppcnt: 255, rega0: 840056, event: 0
ppcnt: 256, rega0: 839781, event: 0
ppcnt: 257, rega0: 839138, event: 0
ppcnt: 258, rega0: 838133, event: 0
ppcnt: 259, rega0: 838906, event: 0
ppcnt: 260, rega0: 839234, event: 0
ppcnt: 261, rega0: 840072, event: 0
ppcnt: 262, rega0: 840371, event: 0
ppcnt: 263, rega0: 840818, event: 0
ppcnt: 264, rega0: 839969, event: 0
ppcnt: 265, rega0: 840374, event: 0
ppcnt: 266, rega0: 840841, event: 0
ppcnt: 267, rega0: 840502, event: 0
ppcnt: 268, rega0: 840704, event: 0
ppcnt: 269, rega0: 841195, event: 0
ppcnt: 270, rega0: 839690, event: 0
ppcnt: 271, rega0: 839700, event: 0
ppcnt: 272, rega0: 840051, event: 0
ppcnt: 273, rega0: 840588, event: 0
ppcnt: 274, rega0: 839887, event: 0
