ppcnt: 138, rega0: 41998749, event: 54
ppcnt: 139, rega0: 41998749, event: 54
ppcnt: 140, rega0: 41998750, event: 54
ppcnt: 141, rega0: 41998749, event: 55
ppcnt: 142, rega0: 41998750, event: 55
ppcnt: 143, rega0: 41998749, event: 54
ppcnt: 144, rega0: 41998749, event: 54
ppcnt: 145, rega0: 41998749, event: 54
ppcnt: 146, rega0: 41998750, event: 54
ppcnt: 147, rega0: 41998749, event: 55
ppcnt: 148, rega0: 41998749, event: 54
ppcnt: 149, rega0: 41998749, event: 55
ppcnt: 150, rega0: 41998749, event: 54
ppcnt: 151, rega0: 41998749, event: 54
ppcnt: 152, rega0: 41998749, event: 55
ppcnt: 153, rega0: 41998750, event: 54
ppcnt: 154, rega0: 41998748, event: 54
ppcnt: 155, rega0: 41998749, event: 54
ppcnt: 156, rega0: 41998749, event: 54
ppcnt: 157, rega0: 41998749, event: 54
ppcnt: 158, rega0: 41998749, event: 55
ppcnt: 159, rega0: 41998749, event: 54
ppcnt: 160, rega0: 41998749, event: 54
ppcnt: 161, rega0: 41998749, event: 54
ppcnt: 162, rega0: 41998749, event: 54
ppcnt: 163, rega0: 41998748, event: 54
ppcnt: 164, rega0: 41998750, event: 54
ppcnt: 165, rega0: 41998748, event: 55
ppcnt: 166, rega0: 41998749, event: 56
ppcnt: 167, rega0: 41998749, event: 54
ppcnt: 168, rega0: 41998749, event: 55
ppcnt: 169, rega0: 41998749, event: 54
ppcnt: 170, rega0: 41998749, event: 54
ppcnt: 171, rega0: 41998748, event: 54
ppcnt: 172, rega0: 41998749, event: 54
ppcnt: 173, rega0: 41998749, event: 55
ppcnt: 174, rega0: 41998749, event: 54
ppcnt: 175, rega0: 41998749, event: 54
ppcnt: 176, rega0: 41998748, event: 55
ppcnt: 177, rega0: 41998749, event: 54
ppcnt: 178, rega0: 41998749, event: 54
ppcnt: 179, rega0: 41998749, event: 54
ppcnt: 180, rega0: 41998749, event: 54
ppcnt: 181, rega0: 41998749, event: 54
ppcnt: 182, rega0: 41998748, event: 54
ppcnt: 183, rega0: 41998749, event: 54
ppcnt: 184, rega0: 41998748, event: 54
ppcnt: 185, rega0: 41998749, event: 54
ppcnt: 186, rega0: 41998749, event: 54
ppcnt: 187, rega0: 41998749, event: 54
ppcnt: 188, rega0: 41998749, event: 54
ppcnt: 189, rega0: 41998749, event: 54
ppcnt: 190, rega0: 41998748, event: 54
ppcnt: 191, rega0: 41998749, event: 55
ppcnt: 192, rega0: 41998748, event: 54
ppcnt: 193, rega0: 41998749, event: 54
ppcnt: 194, rega0: 41998748, event: 54
ppcnt: 195, rega0: 41998748, event: 54
ppcnt: 196, rega0: 41998749, event: 54
ppcnt: 197, rega0: 41998749, event: 54
ppcnt: 198, rega0: 41998748, event: 54
ppcnt: 199, rega0: 41998748, event: 54
ppcnt: 200, rega0: 41998749, event: 54
ppcnt: 201, rega0: 41998748, event: 54
ppcnt: 202, rega0: 41998749, event: 55
ppcnt: 203, rega0: 41998749, event: 54
ppcnt: 204, rega0: 41998748, event: 54
ppcnt: 205, rega0: 41998749, event: 54
ppcnt: 206, rega0: 41998748, event: 54
ppcnt: 207, rega0: 41998748, event: 54
ppcnt: 208, rega0: 41998749, event: 54
ppcnt: 209, rega0: 41998748, event: 54
ppcnt: 210, rega0: 41998749, event: 54
ppcnt: 211, rega0: 41998748, event: 54
ppcnt: 212, rega0: 41998748, event: 54
ppcnt: 213, rega0: 41998749, event: 54
ppcnt: 214, rega0: 41998748, event: 54
ppcnt: 215, rega0: 41998748, event: 54
ppcnt: 216, rega0: 41998749, event: 55
ppcnt: 217, rega0: 41998748, event: 54
ppcnt: 218, rega0: 41998748, event: 54
ppcnt: 219, rega0: 41998749, event: 54
ppcnt: 220, rega0: 41998748, event: 55
ppcnt: 221, rega0: 41998748, event: 54
ppcnt: 222, rega0: 41998748, event: 56
ppcnt: 223, rega0: 41998748, event: 54
ppcnt: 224, rega0: 41998748, event: 54
ppcnt: 225, rega0: 41998748, event: 54
ppcnt: 226, rega0: 41998747, event: 54
ppcnt: 227, rega0: 41998748, event: 54
ppcnt: 228, rega0: 41998748, event: 54
ppcnt: 229, rega0: 41998748, event: 54
ppcnt: 230, rega0: 41998748, event: 54
ppcnt: 231, rega0: 41998747, event: 55
ppcnt: 232, rega0: 41998748, event: 54
ppcnt: 233, rega0: 41998747, event: 54
ppcnt: 234, rega0: 41998748, event: 54
ppcnt: 235, rega0: 41998748, event: 55
ppcnt: 236, rega0: 41998747, event: 55
ppcnt: 237, rega0: 41998748, event: 54
ppcnt: 238, rega0: 41998747, event: 54
ppcnt: 239, rega0: 41998748, event: 54
ppcnt: 240, rega0: 41998747, event: 55
ppcnt: 241, rega0: 41998748, event: 55
ppcnt: 242, rega0: 41998747, event: 54
ppcnt: 243, rega0: 41998748, event: 54
ppcnt: 244, rega0: 41998747, event: 55
ppcnt: 245, rega0: 41998747, event: 54
ppcnt: 246, rega0: 41998747, event: 54
ppcnt: 247, rega0: 41998748, event: 54
ppcnt: 248, rega0: 41998747, event: 54
ppcnt: 249, rega0: 41998747, event: 54
ppcnt: 250, rega0: 41998747, event: 54
ppcnt: 251, rega0: 41998747, event: 55
ppcnt: 252, rega0: 41998747, event: 54
ppcnt: 253, rega0: 41998747, event: 54
ppcnt: 254, rega0: 41998748, event: 54
ppcnt: 255, rega0: 41998746, event: 54
ppcnt: 256, rega0: 41998747, event: 54
ppcnt: 257, rega0: 41998748, event: 55
ppcnt: 258, rega0: 41998747, event: 54
ppcnt: 259, rega0: 41998747, event: 54
ppcnt: 260, rega0: 41998747, event: 54
ppcnt: 261, rega0: 41998747, event: 55
ppcnt: 262, rega0: 41998747, event: 54
ppcnt: 263, rega0: 41998747, event: 54
ppcnt: 264, rega0: 41998747, event: 54
ppcnt: 265, rega0: 41998747, event: 55
ppcnt: 266, rega0: 41998747, event: 54
ppcnt: 267, rega0: 41998747, event: 55
ppcnt: 268, rega0: 41998746, event: 54
ppcnt: 269, rega0: 41998747, event: 54
ppcnt: 270, rega0: 41998747, event: 54
ppcnt: 271, rega0: 41998747, event: 54
ppcnt: 272, rega0: 41998747, event: 54
ppcnt: 273, rega0: 41998746, event: 54
ppcnt: 274, rega0: 41998747, event: 54
ppcnt: 275, rega0: 41998747, event: 55
ppcnt: 276, rega0: 41998747, event: 55
ppcnt: 277, rega0: 41998747, event: 54
ppcnt: 278, rega0: 41998747, event: 55
ppcnt: 279, rega0: 41998746, event: 54
ppcnt: 280, rega0: 41998747, event: 54
ppcnt: 281, rega0: 41998746, event: 54
ppcnt: 282, rega0: 41998747, event: 54
ppcnt: 283, rega0: 41998747, event: 54
ppcnt: 284, rega0: 41998746, event: 54
ppcnt: 285, rega0: 41998747, event: 55
ppcnt: 286, rega0: 41998747, event: 54
ppcnt: 287, rega0: 41998746, event: 54
ppcnt: 288, rega0: 41998747, event: 54
ppcnt: 289, rega0: 41998746, event: 55
ppcnt: 290, rega0: 41998747, event: 54
ppcnt: 291, rega0: 41998747, event: 54
ppcnt: 292, rega0: 41998746, event: 55
ppcnt: 293, rega0: 41998747, event: 54
ppcnt: 294, rega0: 41998747, event: 54
ppcnt: 295, rega0: 41998746, event: 54
ppcnt: 296, rega0: 41998747, event: 54
ppcnt: 297, rega0: 41998746, event: 55
ppcnt: 298, rega0: 41998747, event: 54
ppcnt: 299, rega0: 41998747, event: 54
ppcnt: 300, rega0: 41998746, event: 54
ppcnt: 301, rega0: 41998747, event: 55
ppcnt: 302, rega0: 41998746, event: 55
ppcnt: 303, rega0: 41998747, event: 54
ppcnt: 304, rega0: 41998747, event: 54
ppcnt: 305, rega0: 41998746, event: 54
ppcnt: 306, rega0: 41998747, event: 54
ppcnt: 307, rega0: 41998747, event: 54
ppcnt: 308, rega0: 41998746, event: 54
ppcnt: 309, rega0: 41998747, event: 55
ppcnt: 310, rega0: 41998747, event: 55
ppcnt: 311, rega0: 41998746, event: 55
ppcnt: 312, rega0: 41998747, event: 54
ppcnt: 313, rega0: 41998747, event: 54
ppcnt: 314, rega0: 41998746, event: 54
ppcnt: 315, rega0: 41998747, event: 55
ppcnt: 316, rega0: 41998746, event: 55
ppcnt: 317, rega0: 41998747, event: 54
ppcnt: 318, rega0: 41998747, event: 54
ppcnt: 319, rega0: 41998746, event: 54
ppcnt: 320, rega0: 41998747, event: 54
ppcnt: 321, rega0: 41998747, event: 54
ppcnt: 322, rega0: 41998746, event: 54
ppcnt: 323, rega0: 41998747, event: 54
ppcnt: 324, rega0: 41998747, event: 55
ppcnt: 325, rega0: 41998747, event: 54
ppcnt: 326, rega0: 41998746, event: 54
ppcnt: 327, rega0: 41998747, event: 54
ppcnt: 328, rega0: 41998747, event: 54
ppcnt: 329, rega0: 41998746, event: 54
ppcnt: 330, rega0: 41998746, event: 54
ppcnt: 331, rega0: 41998747, event: 54
ppcnt: 332, rega0: 41998746, event: 54
ppcnt: 333, rega0: 41998747, event: 55
ppcnt: 334, rega0: 41998746, event: 54
ppcnt: 335, rega0: 41998747, event: 54
ppcnt: 336, rega0: 41998746, event: 54
ppcnt: 337, rega0: 41998747, event: 55
ppcnt: 338, rega0: 41998746, event: 55
ppcnt: 339, rega0: 41998747, event: 54
ppcnt: 340, rega0: 41998746, event: 54
ppcnt: 341, rega0: 41998746, event: 55
ppcnt: 342, rega0: 41998747, event: 54
ppcnt: 343, rega0: 41998746, event: 54
ppcnt: 344, rega0: 41998747, event: 55
ppcnt: 345, rega0: 41998746, event: 54
ppcnt: 346, rega0: 41998746, event: 54
ppcnt: 347, rega0: 41998746, event: 54
ppcnt: 348, rega0: 41998747, event: 54
ppcnt: 349, rega0: 41998746, event: 54
ppcnt: 350, rega0: 41998746, event: 54
ppcnt: 351, rega0: 41998746, event: 54
ppcnt: 352, rega0: 41998747, event: 54
ppcnt: 353, rega0: 41998746, event: 54
ppcnt: 354, rega0: 41998746, event: 54
ppcnt: 355, rega0: 41998747, event: 54
ppcnt: 356, rega0: 41998746, event: 54
ppcnt: 357, rega0: 41998746, event: 54
ppcnt: 358, rega0: 41998746, event: 54
ppcnt: 359, rega0: 41998747, event: 54
ppcnt: 360, rega0: 41998746, event: 54
ppcnt: 361, rega0: 41998746, event: 54
ppcnt: 362, rega0: 41998746, event: 54
ppcnt: 363, rega0: 41998746, event: 55
ppcnt: 364, rega0: 41998746, event: 54
ppcnt: 365, rega0: 41998746, event: 55
ppcnt: 366, rega0: 41998747, event: 54
ppcnt: 367, rega0: 41998746, event: 54
ppcnt: 368, rega0: 41998746, event: 54
ppcnt: 369, rega0: 41998746, event: 54
ppcnt: 370, rega0: 41998746, event: 54
ppcnt: 371, rega0: 41998746, event: 54
ppcnt: 372, rega0: 41998746, event: 55
ppcnt: 373, rega0: 41998746, event: 54
ppcnt: 374, rega0: 41998746, event: 54
ppcnt: 375, rega0: 41998746, event: 55
ppcnt: 376, rega0: 41998746, event: 55
ppcnt: 377, rega0: 41998745, event: 54
ppcnt: 378, rega0: 41998746, event: 55
ppcnt: 379, rega0: 41998746, event: 55
ppcnt: 380, rega0: 41998746, event: 54
ppcnt: 381, rega0: 41998746, event: 54
ppcnt: 382, rega0: 41998746, event: 54
ppcnt: 383, rega0: 41998745, event: 54
ppcnt: 384, rega0: 41998746, event: 54
ppcnt: 385, rega0: 41998746, event: 54
ppcnt: 386, rega0: 41998745, event: 54
ppcnt: 387, rega0: 41998746, event: 55
ppcnt: 388, rega0: 41998746, event: 54
ppcnt: 389, rega0: 41998746, event: 54
ppcnt: 390, rega0: 41998745, event: 54
ppcnt: 391, rega0: 41998746, event: 54
ppcnt: 392, rega0: 41998746, event: 54
ppcnt: 393, rega0: 41998745, event: 54
ppcnt: 394, rega0: 41998746, event: 54
ppcnt: 395, rega0: 41998746, event: 54
ppcnt: 396, rega0: 41998746, event: 54
ppcnt: 397, rega0: 41998745, event: 54
ppcnt: 398, rega0: 41998746, event: 54
ppcnt: 399, rega0: 41998745, event: 54
ppcnt: 400, rega0: 41998746, event: 54
ppcnt: 401, rega0: 41998745, event: 55
ppcnt: 402, rega0: 41998745, event: 54
ppcnt: 403, rega0: 41998746, event: 54
ppcnt: 404, rega0: 41998746, event: 54
ppcnt: 405, rega0: 41998745, event: 54
ppcnt: 406, rega0: 41998745, event: 54
ppcnt: 407, rega0: 41998746, event: 54
ppcnt: 408, rega0: 41998745, event: 54
ppcnt: 409, rega0: 41998746, event: 54
ppcnt: 410, rega0: 41998745, event: 54
ppcnt: 411, rega0: 41998745, event: 54
ppcnt: 412, rega0: 41998746, event: 55
ppcnt: 413, rega0: 41998745, event: 55
ppcnt: 414, rega0: 41998746, event: 54
ppcnt: 415, rega0: 41998745, event: 55
ppcnt: 416, rega0: 41998745, event: 54
ppcnt: 417, rega0: 41998746, event: 54
ppcnt: 418, rega0: 41998745, event: 54
ppcnt: 419, rega0: 41998745, event: 54
ppcnt: 420, rega0: 41998746, event: 55
ppcnt: 421, rega0: 41998745, event: 54
ppcnt: 422, rega0: 41998745, event: 54
ppcnt: 423, rega0: 41998746, event: 54
ppcnt: 424, rega0: 41998745, event: 54
ppcnt: 425, rega0: 41998745, event: 55
ppcnt: 426, rega0: 41998745, event: 54
ppcnt: 427, rega0: 41998746, event: 54
ppcnt: 428, rega0: 41998745, event: 54
ppcnt: 429, rega0: 41998745, event: 54
ppcnt: 430, rega0: 41998746, event: 55
ppcnt: 431, rega0: 41998745, event: 54
ppcnt: 432, rega0: 41998745, event: 54
ppcnt: 433, rega0: 41998745, event: 54
ppcnt: 434, rega0: 41998745, event: 54
ppcnt: 435, rega0: 41998745, event: 55
ppcnt: 436, rega0: 41998746, event: 54
ppcnt: 437, rega0: 41998744, event: 54
ppcnt: 438, rega0: 41998746, event: 54
ppcnt: 439, rega0: 41998745, event: 54
ppcnt: 440, rega0: 41998745, event: 54
ppcnt: 441, rega0: 41998745, event: 54
ppcnt: 442, rega0: 41998746, event: 54
ppcnt: 443, rega0: 41998745, event: 55
ppcnt: 444, rega0: 41998745, event: 54
ppcnt: 445, rega0: 41998745, event: 54
ppcnt: 446, rega0: 41998745, event: 54
ppcnt: 447, rega0: 41998745, event: 54
ppcnt: 448, rega0: 41998746, event: 54
ppcnt: 449, rega0: 41998745, event: 54
ppcnt: 450, rega0: 41998745, event: 54
ppcnt: 451, rega0: 41998745, event: 56
ppcnt: 452, rega0: 41998745, event: 54
ppcnt: 453, rega0: 41998745, event: 54
ppcnt: 454, rega0: 41998745, event: 54
ppcnt: 455, rega0: 41998745, event: 54
ppcnt: 456, rega0: 41998745, event: 54
ppcnt: 457, rega0: 41998745, event: 54
ppcnt: 458, rega0: 41998745, event: 55
ppcnt: 459, rega0: 41998745, event: 54
ppcnt: 460, rega0: 41998745, event: 55
ppcnt: 461, rega0: 41998745, event: 54
ppcnt: 462, rega0: 41998745, event: 54
ppcnt: 463, rega0: 41998745, event: 54
ppcnt: 464, rega0: 41998745, event: 54
ppcnt: 465, rega0: 41998745, event: 54
ppcnt: 466, rega0: 41998745, event: 54
ppcnt: 467, rega0: 41998744, event: 55
ppcnt: 468, rega0: 41998746, event: 54
ppcnt: 469, rega0: 41998744, event: 54
ppcnt: 470, rega0: 41998745, event: 54
ppcnt: 471, rega0: 41998745, event: 55
ppcnt: 472, rega0: 41998745, event: 55
ppcnt: 473, rega0: 41998745, event: 54
ppcnt: 474, rega0: 41998744, event: 54
ppcnt: 475, rega0: 41998745, event: 55
ppcnt: 476, rega0: 41998745, event: 54
ppcnt: 477, rega0: 41998745, event: 54
ppcnt: 478, rega0: 41998744, event: 54
ppcnt: 479, rega0: 41998745, event: 55
ppcnt: 480, rega0: 41998744, event: 54
ppcnt: 481, rega0: 41998745, event: 54
ppcnt: 482, rega0: 41998745, event: 55
ppcnt: 483, rega0: 41998744, event: 54
ppcnt: 484, rega0: 41998745, event: 54
ppcnt: 485, rega0: 41998744, event: 54
ppcnt: 486, rega0: 41998744, event: 54
ppcnt: 487, rega0: 41998745, event: 54
ppcnt: 488, rega0: 41998745, event: 54
ppcnt: 489, rega0: 41998744, event: 54
ppcnt: 490, rega0: 41998744, event: 55
ppcnt: 491, rega0: 41998745, event: 55
ppcnt: 492, rega0: 41998744, event: 54
ppcnt: 493, rega0: 41998745, event: 54
ppcnt: 494, rega0: 41998744, event: 54
ppcnt: 495, rega0: 41998744, event: 54
ppcnt: 496, rega0: 41998744, event: 54
ppcnt: 497, rega0: 41998745, event: 54
ppcnt: 498, rega0: 41998744, event: 55
ppcnt: 499, rega0: 41998744, event: 54
ppcnt: 500, rega0: 41998744, event: 54
ppcnt: 501, rega0: 41998744, event: 54
ppcnt: 502, rega0: 41998744, event: 55
ppcnt: 503, rega0: 41998744, event: 56
ppcnt: 504, rega0: 41998744, event: 54
ppcnt: 505, rega0: 41998744, event: 54
ppcnt: 506, rega0: 41998744, event: 55
ppcnt: 507, rega0: 41998744, event: 54
ppcnt: 508, rega0: 41998743, event: 55
ppcnt: 509, rega0: 41998744, event: 54
ppcnt: 510, rega0: 41998744, event: 54
ppcnt: 511, rega0: 41998744, event: 54
ppcnt: 512, rega0: 41998744, event: 55
ppcnt: 513, rega0: 41998744, event: 54
ppcnt: 514, rega0: 41998744, event: 54
ppcnt: 515, rega0: 41998744, event: 55
ppcnt: 516, rega0: 41998744, event: 54
ppcnt: 517, rega0: 41998744, event: 54
ppcnt: 518, rega0: 41998744, event: 14
ppcnt: 519, rega0: 41998743, event: 54
ppcnt: 520, rega0: 41998744, event: 55
ppcnt: 521, rega0: 41998744, event: 54
ppcnt: 522, rega0: 41998743, event: 54
ppcnt: 523, rega0: 41998744, event: 55
ppcnt: 524, rega0: 41998744, event: 55
ppcnt: 525, rega0: 41998744, event: 14
ppcnt: 526, rega0: 41998743, event: 55
ppcnt: 527, rega0: 41998744, event: 54
ppcnt: 528, rega0: 41998744, event: 14
ppcnt: 529, rega0: 41998743, event: 55
ppcnt: 530, rega0: 41998744, event: 54
ppcnt: 531, rega0: 41998743, event: 55
ppcnt: 532, rega0: 41998744, event: 54
ppcnt: 533, rega0: 41998744, event: 14
ppcnt: 534, rega0: 41998744, event: 14
ppcnt: 535, rega0: 41998743, event: 54
ppcnt: 536, rega0: 41998744, event: 15
ppcnt: 537, rega0: 41998743, event: 54
ppcnt: 538, rega0: 41998744, event: 14
ppcnt: 539, rega0: 41998743, event: 54
ppcnt: 540, rega0: 41998744, event: 14
ppcnt: 541, rega0: 41998743, event: 55
ppcnt: 542, rega0: 41998744, event: 14
ppcnt: 543, rega0: 41998743, event: 14
ppcnt: 544, rega0: 41998744, event: 14
ppcnt: 545, rega0: 41998743, event: 15
ppcnt: 546, rega0: 41998744, event: 14
ppcnt: 547, rega0: 41998743, event: 15
ppcnt: 548, rega0: 41998744, event: 14
ppcnt: 549, rega0: 41998743, event: 14
ppcnt: 550, rega0: 41998744, event: 14
ppcnt: 551, rega0: 41998743, event: 14
ppcnt: 552, rega0: 41998743, event: 14
ppcnt: 553, rega0: 41998744, event: 14
ppcnt: 554, rega0: 41998743, event: 14
ppcnt: 555, rega0: 41998743, event: 54
ppcnt: 556, rega0: 41998744, event: 14
ppcnt: 557, rega0: 41998743, event: 14
ppcnt: 558, rega0: 41998743, event: 54
ppcnt: 559, rega0: 41998744, event: 14
ppcnt: 560, rega0: 41998743, event: 15
ppcnt: 561, rega0: 41998743, event: 54
ppcnt: 562, rega0: 41998744, event: 14
ppcnt: 563, rega0: 41998743, event: 14
ppcnt: 564, rega0: 41998743, event: 54
ppcnt: 565, rega0: 41998744, event: 15
ppcnt: 566, rega0: 41998743, event: 14
ppcnt: 567, rega0: 41998743, event: 54
ppcnt: 568, rega0: 41998743, event: 54
ppcnt: 569, rega0: 41998744, event: 14
ppcnt: 570, rega0: 41998743, event: 14
ppcnt: 571, rega0: 41998743, event: 14
ppcnt: 572, rega0: 41998743, event: 14
ppcnt: 573, rega0: 41998744, event: 14
ppcnt: 574, rega0: 41998743, event: 15
ppcnt: 575, rega0: 41998743, event: 14
ppcnt: 576, rega0: 41998743, event: 14
ppcnt: 577, rega0: 41998743, event: 15
ppcnt: 578, rega0: 41998743, event: 14
ppcnt: 579, rega0: 41998743, event: 54
ppcnt: 580, rega0: 41998744, event: 14
ppcnt: 581, rega0: 41998742, event: 54
ppcnt: 582, rega0: 41998744, event: 14
ppcnt: 583, rega0: 41998743, event: 15
ppcnt: 584, rega0: 41998743, event: 14
ppcnt: 585, rega0: 41998743, event: 14
ppcnt: 586, rega0: 41998743, event: 14
ppcnt: 587, rega0: 41998743, event: 14
ppcnt: 588, rega0: 41998743, event: 14
ppcnt: 589, rega0: 41998743, event: 14
ppcnt: 590, rega0: 41998743, event: 14
ppcnt: 591, rega0: 41998743, event: 15
ppcnt: 592, rega0: 41998743, event: 14
ppcnt: 593, rega0: 41998743, event: 14
ppcnt: 594, rega0: 41998743, event: 14
ppcnt: 595, rega0: 41998743, event: 15
ppcnt: 596, rega0: 41998742, event: 14
ppcnt: 597, rega0: 41998743, event: 14
ppcnt: 598, rega0: 41998743, event: 16
ppcnt: 599, rega0: 41998743, event: 14
ppcnt: 600, rega0: 41998742, event: 14
ppcnt: 601, rega0: 41998743, event: 14
ppcnt: 602, rega0: 41998743, event: 14
ppcnt: 603, rega0: 41998743, event: 15
ppcnt: 604, rega0: 41998743, event: 14
ppcnt: 605, rega0: 41998742, event: 14
ppcnt: 606, rega0: 41998743, event: 14
